(1, 'Halo: Combat Evolved', 4, '11/15/2001', 'Bungie', 'Microsoft Game Studios', '|Shooter|', 'T - Teen', '1', NULL),
(2, 'Crysis', 4, '11/13/2007', 'Crytek', 'Electronic Arts', '|Shooter|', 'M - Mature', '1', NULL),
(10, 'Ace Combat 6: Fires of Liberation', NULL, NULL, 'Namco', 'Namco Bandai', NULL, 'T - Teen', '15', NULL),
(4, 'Star Fox 64', 4, '04/27/1997', 'Nintendo', 'Nintendo', '|Action|Shooter|', 'E - Everyone', '3', NULL),
(5, 'Donkey Kong', 0, '01/01/1982', 'Nintendo Co., Ltd.', 'Coleco', '|Action|', NULL, '7', NULL),
(241, 'BattleTanx', NULL, NULL, NULL, NULL, NULL, NULL, '3', NULL),
(242, 'BattleTanx: Global Assault', NULL, NULL, NULL, NULL, NULL, NULL, '3', NULL),
(243, 'Blues Brothers 2000', NULL, NULL, NULL, NULL, NULL, NULL, '3', NULL),
(244, 'Body Harvest', 2, '1998', 'Rockstar North', 'Gremlin Interactive', '|Action|Shooter|', 'E - Everyone', '3', NULL),
(245, 'Bomberman Hero', NULL, NULL, NULL, NULL, NULL, NULL, '3', NULL),
(246, 'Castlevania: Legacy of Darkness', NULL, NULL, NULL, NULL, NULL, NULL, '3', NULL),
(247, 'Chopper Attack', NULL, NULL, NULL, NULL, NULL, NULL, '3', NULL),
(248, 'ClayFighter 63⅓', 2, '09/30/1997', 'Danger Productions', 'Interplay', '|Fighting|', 'T - Teen', '3', NULL),
(249, 'Conker''s Bad Fur Day', 0, '03/04/2001', 'Rare Ltd.', 'Rare Ltd.', '|Shooter|', 'M - Mature', '3', NULL),
(250, 'Donkey Kong 64', 1, NULL, NULL, NULL, '|Action|Adventure|', 'E - Everyone', '3', NULL),
(251, 'Doom 64', 0, '03/31/1997', 'Midway', 'Midway', '|Shooter|', 'M - Mature', '3', NULL),
(252, 'Fighter Destiny 2', NULL, NULL, NULL, NULL, NULL, 'T - Teen', '3', NULL),
(253, 'Fighting Force', NULL, NULL, NULL, NULL, NULL, 'T - Teen', '3', NULL),
(254, 'Forsaken', 4, NULL, NULL, NULL, '|Action|Shooter|', 'M - Mature', '3', NULL),
(237, '1080° Snowboarding', 2, '03/31/1998', 'Nintendo EAD', 'Nintendo', '|Sports|', 'E - Everyone', '3', NULL),
(238, 'The World Is Not Enough', 0, NULL, NULL, NULL, '|Action|Shooter|', NULL, '3', NULL),
(239, 'A Bug''s Life', 0, '11/06/1998', 'Disney Interactive', 'Disney Interactive', '|Adventure|', 'E - Everyone', '3', NULL),
(240, 'Army Men: Sarge''s Heroes', 2, '11/16/2000', '3DO', '3DO', '|Action|Shooter|', 'T - Teen', '3', NULL),
(9, 'Halo 2', 2, '11/09/2004', 'Bungie', 'Microsoft', '|Action|', 'M - Mature', '1', NULL),
(11, 'Army of Two', 0, NULL, 'EA Montreal', 'Electronic Arts', NULL, 'M - Mature', '15', NULL),
(12, 'Assassin''s Creed', 1, '11/14/2007', 'Ubisoft Montreal', 'Ubisoft', '|Action|Adventure|Sandbox|', 'M - Mature', '1', NULL),
(13, 'BioShock', 0, '08/21/2007', 'Irrational Games', '2K Games', NULL, 'M - Mature', '1', NULL),
(14, 'Dead Space: The Looooong Game', 1, '10/14/2008', 'Visceral Games', 'Electronic Arts', '|Shooter|', 'M - Mature', '1', NULL),
(15, 'Devil May Cry', 0, NULL, 'Capcom', 'Capcom', NULL, 'M - Mature', '11', NULL),
(16, 'Devil May Cry 3: Dante''s Awakening', 0, NULL, 'Capcom', 'Capcom', NULL, 'M - Mature', '11', NULL),
(17, 'Devil May Cry 4', 0, NULL, 'Capcom', 'Capcom', NULL, 'M - Mature', '12', NULL),
(18, 'Driver: Parallel Lines', 0, NULL, 'Reflections Interactive', 'Ubisoft', NULL, 'M - Mature', '1', NULL),
(19, 'Final Fantasy X-2', 0, NULL, NULL, NULL, NULL, NULL, '11', NULL),
(20, 'Final Fantasy X', 0, NULL, NULL, NULL, NULL, NULL, '11', NULL),
(21, 'Final Fantasy XIII', 1, NULL, NULL, NULL, '|Role-Playing|', NULL, '12', NULL),
(22, 'Left 4 Dead', 4, '11/17/2008', 'Valve Corporation', 'Valve Corporation', '|Shooter|', 'M - Mature', '1', NULL),
(23, 'Gears of War', 0, '11/07/2006', 'Epic', 'Microsoft Game Studios', '|Shooter|', 'M - Mature', '1', NULL),
(24, 'Gears of War 2', 0, NULL, NULL, 'Microsoft Game Studios', '|Action|Shooter|', 'M - Mature', '15', NULL),
(25, 'God Hand', 0, NULL, NULL, NULL, NULL, NULL, '11', NULL),
(26, 'God of War', 0, NULL, NULL, NULL, NULL, NULL, '11', NULL),
(27, 'Golden Axe: Beast Rider', 0, NULL, NULL, NULL, NULL, NULL, '15', NULL),
(29, 'Grand Theft Auto IV', 0, '12/02/2008', 'Rockstar North', 'Rockstar Games', '|Action|Adventure|Shooter|', 'M - Mature', '1', NULL),
(30, 'Guild Wars', NULL, NULL, 'ArenaNet', 'NCsoft', '|Adventure|Role-Playing|', NULL, '1', NULL),
(33, 'Jet Set Radio', 1, '06/29/2000', 'SlimeBit', 'SEGA', '|Adventure|', 'T - Teen', '16', NULL),
(35, 'Killzone', NULL, '11/02/2004', 'Guerrilla Games', 'SCEE', '|Shooter|', 'M - Mature', '11', NULL),
(41, 'Super Mario Kart', 0, '09/01/1992', 'Nintendo', 'Nintendo', '|Racing|', NULL, '6', NULL),
(42, 'Mario Party', NULL, '12/14/1998', 'Hudson Soft', 'Nintendo', '|Adventure|Puzzle|Strategy|', 'E - Everyone', '3', NULL),
(45, 'Metal Gear Solid 4: Guns of the Patriots', NULL, '06/12/2008', 'Kojima Productions', 'Konami', '|Shooter|', 'M - Mature', '12', NULL),
(46, 'Mirror''s Edge', 0, '01/13/2009', 'EA Digital Illusions CE', 'Electronic Arts', '|Action|Adventure|', 'T - Teen', '1', NULL),
(51, 'Okami', 0, '04/20/2006', 'Clover Studio', 'Capcom', '|Adventure|', 'T - Teen', '11', NULL),
(53, 'Prince of Persia', 0, '12/09/2008', 'Ubisoft Montreal', 'Ubisoft', '|Action|Adventure|', 'T - Teen', '1', NULL),
(55, 'Command & Conquer: Red Alert 3', 0, NULL, NULL, NULL, NULL, NULL, '1', NULL),
(56, 'Resident Evil 4', 1, '01/11/2005', 'Capcom', 'Capcom', '|Action|Adventure|Puzzle|Shooter|', 'M - Mature', '2', NULL),
(57, 'Resident Evil 5', 0, '09/15/2009', 'Capcom', 'Capcom', '|Action|Shooter|', 'M - Mature', '1', NULL),
(61, 'Sam & Max', 1, NULL, NULL, NULL, '|Role-Playing|', NULL, '1', NULL),
(64, 'Tom Clancy''s Splinter Cell', NULL, '11/19/2002', 'Ubisoft', 'Ubisoft', '|Shooter|', 'T - Teen', '1', NULL),
(66, 'Tomb Raider', 1, '11/22/1996', 'Core Design', 'Eidos Interactive', '|Action|Adventure|', 'T - Teen', '1', NULL),
(67, 'Tomb Raider: Underworld', 1, '11/21/2008', 'Eidos Interactive', 'Crystal Dynamics', '|Action|Adventure|', NULL, '1', NULL),
(68, 'Turok: Dinosaur Hunter', 1, '03/04/1997', 'Iguana Entertainment', 'Acclaim Entertainment', '|Shooter|', 'M - Mature', '3', NULL),
(70, 'Uncharted: Drake''s Fortune', 0, '11/20/2007', 'Naughty Dog Software', 'Sony Computer Entertainment', '|Action|Adventure|', 'T - Teen', '12', NULL),
(71, 'Viewtiful Joe', 0, '10/07/2003', 'Clover Studio', 'Capcom', '|Action|Adventure|', 'T - Teen', '2', NULL),
(73, 'Age of Conan: Hyborian Adventures', 0, '05/20/2008', 'Funcom', 'Funcom', '|Role-Playing|', 'M - Mature', '1', NULL),
(74, 'Aliens: Colonial Marines', 0, NULL, 'Gearbox Software', 'Sega', '|Shooter|', 'M - Mature', '1', NULL),
(75, 'Alone in the Dark', 0, NULL, NULL, NULL, NULL, NULL, '1', NULL),
(76, 'Bionic Commando', 0, '1987', 'Capcom', 'Go!', '|Action|', NULL, '7', NULL),
(77, 'Burnout Paradise', 0, '01/22/2008', 'Criterion Games', 'Electronic Arts', '|Vehicle Simulation|', 'E - Everyone', '1', NULL),
(78, 'Clive Barker''s Jericho', 0, NULL, NULL, NULL, NULL, NULL, '1', NULL),
(79, 'Command & Conquer 3: Kane''s Wrath', 0, NULL, NULL, NULL, NULL, NULL, '1', NULL),
(80, 'Command & Conquer 3: Tiberium Wars', NULL, '03/28/2007', 'Electronic Arts', 'Electronic Arts', '|Strategy|', 'T - Teen', '1', NULL),
(81, 'Crisis Core: Final Fantasy VII', 0, NULL, NULL, NULL, NULL, NULL, '13', NULL),
(82, 'Dark Sector', 0, NULL, NULL, NULL, NULL, NULL, '15', NULL),
(83, 'Final Fantasy VI', 1, '04/02/1994', 'Square', 'Square', '|Role-Playing|', 'T - Teen', '6', NULL),
(84, 'Empire Earth III', 0, NULL, NULL, NULL, NULL, NULL, '1', NULL),
(85, 'Enemy Territory: Quake Wars', 0, NULL, NULL, NULL, NULL, NULL, '1', NULL),
(86, 'Fallout 3', 0, '10/28/2008', 'Bethesda Game Studios', 'Bethesda Softworks', '|Action|Adventure|Role-Playing|Shooter|', 'M - Mature', '1', NULL),
(87, 'Final Fantasy XII', NULL, '03/16/2006', 'Square Enix', 'Square Enix', '|Role-Playing|', 'T - Teen', '11', NULL),
(88, 'God of War II', NULL, '03/13/2007', 'SCE Studios Santa Monica', 'Sony Computer Entertainment', '|Action|Adventure|', 'M - Mature', '11', NULL),
(89, 'God of War: Chains of Olympus', 0, NULL, NULL, NULL, NULL, NULL, '13', NULL),
(90, 'Halo 3', 0, NULL, NULL, NULL, NULL, NULL, '15', NULL),
(96, 'Prototype', NULL, '06/09/2009', 'Radical Entertainment', 'Activision', '|Action|Adventure|', 'M - Mature', '1', NULL),
(101, 'S.T.A.L.K.E.R.: Clear Sky', 1, '09/05/2008', 'GSC Game World', 'Deep Silver', '|Action|Shooter|', 'M - Mature', '1', NULL),
(103, 'Street Fighter IV', 2, '07/18/2008', 'Capcom', 'Capcom', '|Fighting|', 'T - Teen', '1', NULL),
(2798, 'G-LOC Air Battle', 0, NULL, NULL, NULL, NULL, NULL, '35', NULL),
