Servicio de varada y mantenimiento general del Buque Oceanográfico García del Cid dependiente de la Unidad de Tecnología Marina.	Ministerio de Ciencia, Innovación y Universidades	Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P..	Abierto	08/03/2022	259118,52€	ARMADA SA ASTILLEROS VARADEROS.  - A36610681	
Trabajos de soporte a la revisión y análisis de solicitudes de participación en procedimientos de concesión de ayudas	Ministerio de Ciencia, Innovación y Universidades	Agencia Estatal de Investigación.	Abierto	08/03/2022	110000,00€	CREATIVIDAD Y TECNOLOGÍA S.A..  - A28799864	
Servicios de mantenimiento de las instalaciones de la  Plataforma Solar de Almería.	Ministerio de Ciencia, Innovación y Universidades	Dirección General del Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas (CIEMAT).	Abierto	08/03/2022	1525478,31€	EULEN, S.A.  - A28517308	
CONTRATO DERIVADO DEL ACUERDO MARCO AM1/20 (Suministro de nitrógeno líquido a granel y el arrendamiento de instalaciones criogénicas necesarias para dicho abastecimiento) con destino al Instituto de Biología Molecular yCelular de Plantas Primo Yufera.	Ministerio de Ciencia, Innovación y Universidades	Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P..	Derivado de acuerdo marco	04/03/2022	19905,60€	AL AIR LIQUIDE ESPAÑA S.A..  - A28016814	
Servicio de varada y mantenimiento general del Buque Oceanográfico García del Cid dependiente de la Unidad de Tecnología Marina.	Ministerio de Ciencia, Innovación y Universidades	Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P..	Abierto	08/03/2022	259118,52€	ARMADA SA ASTILLEROS VARADEROS.  - A36610681	
Trabajos de soporte a la revisión y análisis de solicitudes de participación en procedimientos de concesión de ayudas	Ministerio de Ciencia, Innovación y Universidades	Agencia Estatal de Investigación.	Abierto	08/03/2022	110000,00€	CREATIVIDAD Y TECNOLOGÍA S.A..  - A28799864	
Servicios de mantenimiento de las instalaciones de la  Plataforma Solar de Almería.	Ministerio de Ciencia, Innovación y Universidades	Dirección General del Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas (CIEMAT).	Abierto	08/03/2022	1525478,31€	EULEN, S.A.  - A28517308	
CONTRATO DERIVADO DEL ACUERDO MARCO AM1/20 (Suministro de nitrógeno líquido a granel y el arrendamiento de instalaciones criogénicas necesarias para dicho abastecimiento) con destino al Instituto de Biología Molecular yCelular de Plantas Primo Yufera.	Ministerio de Ciencia, Innovación y Universidades	Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P..	Derivado de acuerdo marco	04/03/2022	19905,60€	AL AIR LIQUIDE ESPAÑA S.A..  - A28016814	
CONTRATACIÓN DERIVADA AM1/20 (Suministro de nitrógeno líquido a granel y arrendamiento de las instalaciones criogénicas necesarias para dicho abastecimiento) con destino al Instituto de la Grasa	Ministerio de Ciencia, Innovación y Universidades	Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P..	Derivado de acuerdo marco	04/03/2022	15660,00€	AL AIR LIQUIDE ESPAÑA S.A..  - A28016814	
CONTRATACIÓN DERIVADA AM1/20 (Suministro de nitrógeno líquido a granel) con destino a Instituto de Agroquímica y Tecnología de Alimentos.	Ministerio de Ciencia, Innovación y Universidades	Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P..	Derivado de acuerdo marco	04/03/2022	3791,70€	AL AIR LIQUIDE ESPAÑA S.A..  - A28016814	
Suministro e instalación de una enfriadora con refrigerante R-134a con destino al Centro Andaluz de Investigación en Biología Molecular y Medicina Regenerativa	Ministerio de Ciencia, Innovación y Universidades	Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P..	Abierto Simplificado	03/03/2022	86200,00€	YOMEE ENERGY SERVICES, S.L..  - B98761133	
Suministro de cesión de derecho de uso del software Mathematica con destino a CSIC - ORGANIZACION CENTRAL	Ministerio de Ciencia, Innovación y Universidades	Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P..	Abierto Simplificado	03/03/2022	56980,36€	Wolfram Research Europe Ltd.  - 537 243 840	
CONTRATACIÓN DERIVADA AM1/20 (Suministro de nitrógeno líquido a granel y arrendamiento de las instalaciones criogénicas necesarias para dicho abastecimiento) con destino a Instituto de Investigaciones Biomédicas Alberto Sols.	Ministerio de Ciencia, Innovación y Universidades	Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P..	Derivado de acuerdo marco	03/03/2022	41752,80€	AL AIR LIQUIDE ESPAÑA S.A..  - A28016814	
Servicio de mantenimiento menor de la crioplataforma del espectrómetro de Resonancia Magnética Nuclear de la Plataforma de Interacciones Biomoleculares con destino al Centro de Investigaciones Científicas Isla de la Cartuja.	Ministerio de Ciencia, Innovación y Universidades	Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P..	Abierto Simplificado	03/03/2022	17298,00€	Bruker Española, S.A..  - A28315539	
